student_id,title,math,adv_math_elec,chem,phys,bio,ss,ee,elec_sci,cs,elec_hum,wl,as,en400
38353056,Trimester 1,0,2,0,0,1,0,0,1,0,0,0,0,1
38353523,Trimester 1,0,1,0,0,0,0,0,1,0,0,0,0,0
38355678,Trimester 1,0,1,0,0,0,0,1,0,0,0,0,0,1
38359685,Trimester 1,0,1,1,0,2,0,0,0,0,0,0,0,1
38363645,Trimester 1,0,1,1,0,0,0,0,0,0,0,1,0,1
38365014,Trimester 1,0,0,0,0,0,0,1,1,0,0,0,0,0
38365425,Trimester 1,0,1,0,1,0,0,1,0,0,0,1,0,1
38365816,Trimester 1,0,1,0,0,0,0,0,1,1,0,0,0,1
38366783,Trimester 1,0,1,0,1,0,0,0,0,0,0,1,0,1
38367352,Trimester 1,0,1,0,0,0,0,0,1,0,0,1,0,1
38376858,Trimester 1,0,1,0,0,0,0,0,0,1,0,0,0,2
38379622,Trimester 1,0,1,1,0,1,0,0,0,0,0,0,0,1
38381912,Trimester 1,0,1,0,1,0,0,2,0,0,0,0,0,0
38383791,Trimester 1,0,2,1,0,0,0,1,0,0,1,1,0,0
38383855,Trimester 1,0,3,0,0,1,0,0,0,0,0,0,0,0
38384852,Trimester 1,0,1,0,0,0,0,0,1,0,0,0,0,0
38385015,Trimester 1,0,1,0,1,1,0,0,0,0,0,1,0,0
38386927,Trimester 1,0,2,1,1,0,0,0,0,1,0,0,0,0
38387934,Trimester 1,0,1,1,0,0,1,0,0,1,0,0,0,0
38388453,Trimester 1,0,1,0,0,1,0,1,0,0,0,1,0,0
38388845,Trimester 1,0,1,0,1,0,1,0,0,0,0,0,0,1
38388893,Trimester 1,0,1,1,0,2,0,0,0,0,1,1,0,0
38391390,Trimester 1,0,2,0,0,0,0,0,1,0,0,1,0,0
38392276,Trimester 1,0,1,1,1,1,0,0,0,0,0,1,0,0
38393145,Trimester 1,0,1,0,0,0,0,0,1,0,0,1,0,1
38395460,Trimester 1,0,1,0,0,1,1,0,0,0,0,1,0,0
38395990,Trimester 1,0,1,0,0,1,1,0,0,0,0,1,0,1
38397197,Trimester 1,0,1,0,0,0,0,1,0,1,1,1,0,0
38397327,Trimester 1,0,2,0,1,1,0,0,0,0,0,1,0,0
38397736,Trimester 1,0,2,0,0,0,0,0,1,0,0,0,0,1
38399132,Trimester 1,0,1,0,1,0,1,0,0,0,0,1,0,1
38400077,Trimester 1,0,1,0,0,1,0,0,0,1,0,1,0,0
38403765,Trimester 1,0,1,0,1,1,0,0,1,0,0,0,0,1
38404296,Trimester 1,0,1,0,0,1,0,0,0,1,0,0,0,1
38404675,Trimester 1,0,1,0,0,1,0,0,0,0,0,0,0,1
38406665,Trimester 1,0,2,1,1,0,0,0,0,0,0,0,0,1
38407040,Trimester 1,0,1,0,1,0,0,1,1,0,0,0,0,1
38408005,Trimester 1,0,1,0,0,2,0,1,0,0,1,1,0,0
38413431,Trimester 1,0,1,1,0,0,0,0,1,0,0,0,0,1
38413981,Trimester 1,0,2,1,0,0,0,0,0,0,0,1,0,0
38417030,Trimester 1,0,1,1,0,0,0,1,0,0,0,0,0,1
38418247,Trimester 1,0,1,1,0,1,0,0,0,0,0,0,0,1
38422835,Trimester 1,0,1,0,0,0,0,0,0,1,0,0,0,1
38425897,Trimester 1,0,1,0,1,1,0,0,0,0,0,1,0,1
38428094,Trimester 1,0,1,0,0,0,0,0,0,1,0,0,0,0
38428469,Trimester 1,0,1,1,0,1,0,0,0,0,0,1,0,1
38428567,Trimester 1,0,1,0,1,1,0,0,0,0,0,1,0,1
38429200,Trimester 1,0,0,0,0,0,0,0,0,0,0,0,0,0
39008009,Trimester 1,1,0,0,1,1,0,0,0,0,0,1,1,0
39021877,Trimester 1,0,1,0,0,0,0,0,0,0,0,1,1,0
39025236,Trimester 1,0,1,0,0,0,0,1,0,0,0,1,1,0
39032825,Trimester 1,0,1,1,0,0,0,0,0,0,0,1,1,0
39033555,Trimester 1,1,0,1,0,0,0,0,0,0,0,1,1,0
39038197,Trimester 1,0,1,1,0,0,0,0,0,0,0,0,1,0
39045451,Trimester 1,0,1,0,0,1,0,0,0,0,0,1,1,0
39111241,Trimester 1,1,0,0,1,0,0,0,0,0,0,1,1,0
39111415,Trimester 1,0,1,1,0,0,0,0,0,0,0,1,1,0
39112405,Trimester 1,1,0,0,0,0,0,0,1,1,0,0,1,0
39113726,Trimester 1,0,1,1,0,0,0,0,0,0,0,1,1,0
39124139,Trimester 1,0,1,0,0,0,0,0,0,0,0,1,1,0
39125217,Trimester 1,0,1,1,0,0,0,0,0,0,0,1,1,0
39125573,Trimester 1,1,0,1,0,0,0,0,0,0,0,1,1,0
39125958,Trimester 1,1,0,1,1,0,0,0,0,0,0,1,1,0
39126371,Trimester 1,0,1,1,0,0,0,0,0,0,0,1,1,0
39127621,Trimester 1,1,0,0,1,0,0,0,0,0,0,1,1,0
39127782,Trimester 1,0,1,1,0,0,0,0,0,1,0,1,1,0
