student_id,title,math,adv_math_elec,chem,phys,bio,ee,elec_sci,cs,elec_hum,wl,as,en400,ss,as_ss,cs_ee_ss
11848729,Trimester 1,0,1,0,0,2,0,0,1,0,0,0,0,,,
11848747,Trimester 1,0,1,0,1,0,0,1,0,0,1,0,0,,,
11848767,Trimester 1,0,0,0,1,0,0,0,0,0,1,0,1,,,
11848769,Trimester 1,0,1,0,0,1,0,1,1,0,0,0,0,,,
11848781,Trimester 1,0,1,0,0,1,0,1,0,0,1,0,0,,,
11848787,Trimester 1,0,1,0,0,0,0,0,1,0,0,0,1,,,
11848822,Trimester 1,0,1,1,0,0,1,0,0,0,0,0,1,,,
11848829,Trimester 1,0,1,0,1,0,1,0,0,0,1,0,0,,,
11848848,Trimester 1,0,1,0,1,1,0,0,0,1,0,0,1,,,
11848850,Trimester 1,0,1,0,1,1,0,0,1,0,0,0,1,,,
11848854,Trimester 1,0,1,1,0,0,0,1,1,0,0,0,1,,,
11848861,Trimester 1,1,0,0,1,1,1,0,0,0,0,0,1,0,,
11848869,Trimester 1,0,1,0,0,0,0,1,0,0,0,0,2,,,
11848883,Trimester 1,0,1,0,0,0,0,2,0,0,0,0,2,,,
11848886,Trimester 1,0,1,1,0,0,0,0,1,0,0,0,1,,,
11848895,Trimester 1,0,1,0,1,0,0,0,0,0,1,0,1,,,
11848898,Trimester 1,0,1,0,0,2,0,0,1,0,1,0,0,,,
11848899,Trimester 1,0,1,0,1,0,0,0,1,0,1,0,1,,,
11848916,Trimester 1,0,2,0,0,0,0,0,1,0,0,0,1,,,
11848922,Trimester 1,0,1,0,1,0,1,0,0,0,0,0,1,,,
11848929,Trimester 1,0,1,1,0,0,0,0,0,0,0,0,1,,,
11848931,Trimester 1,0,1,1,0,0,0,0,0,0,0,0,1,,,
11848968,Trimester 1,0,1,0,1,0,0,0,0,0,1,0,1,,,
11848975,Trimester 1,0,1,0,1,2,0,0,0,0,0,0,1,,,
11848981,Trimester 1,0,2,0,1,1,0,0,1,0,0,0,1,,,
11848986,Trimester 1,1,0,1,0,2,0,0,0,0,0,0,1,0,,
11848991,Trimester 1,0,1,0,0,0,0,2,1,0,0,0,1,,,
11848995,Trimester 1,0,1,0,1,0,0,0,0,0,1,0,2,,,
11849009,Trimester 1,0,1,0,1,0,0,0,0,0,1,0,1,,,
11849024,Trimester 1,0,1,0,0,0,0,1,1,0,0,0,1,,,
11849026,Trimester 1,0,0,1,0,0,0,2,0,0,0,0,1,,,
11849048,Trimester 1,0,1,1,0,0,0,0,0,0,0,0,1,,,
11849062,Trimester 1,0,1,1,0,0,1,0,1,0,0,0,0,,,
11849063,Trimester 1,0,1,0,1,1,0,0,0,1,1,0,1,,,
11849074,Trimester 1,0,1,1,0,2,0,0,0,0,1,0,0,,,
11849093,Trimester 1,0,2,0,0,0,1,0,0,0,0,0,0,,,
11849114,Trimester 1,0,1,1,0,0,1,1,0,0,0,0,1,,,
11849119,Trimester 1,0,1,0,1,1,0,0,0,0,1,0,0,,,
11849125,Trimester 1,0,1,0,0,0,0,0,1,0,0,0,2,,,
11849129,Trimester 1,0,2,0,0,1,0,0,0,0,0,0,1,,,
11849134,Trimester 1,0,1,0,0,2,0,0,1,0,0,0,1,,,
11849139,Trimester 1,0,1,0,0,0,2,0,0,0,1,0,0,,,
11849141,Trimester 1,0,2,0,1,0,0,0,0,0,0,0,0,,,
11849142,Trimester 1,0,1,0,0,0,0,0,1,0,0,0,1,,,
11849150,Trimester 1,0,1,1,0,1,0,0,0,0,1,0,1,,,
11849154,Trimester 1,0,1,0,1,0,0,1,0,0,1,0,1,,,
11849162,Trimester 1,0,1,1,0,0,0,0,0,0,0,0,1,,,
11849170,Trimester 1,0,2,1,0,1,1,0,0,0,0,0,0,,,
11849200,Trimester 1,0,1,0,1,1,0,0,1,0,0,0,0,,,
38125885,Trimester 1,1,0,1,0,1,0,0,0,0,1,1,0,0,,
38126131,Trimester 1,1,0,0,0,1,0,0,0,0,1,1,0,0,,
38126476,Trimester 1,0,1,0,1,0,0,0,1,0,1,1,0,,,
38126487,Trimester 1,0,1,0,1,0,0,0,0,0,1,1,0,,,
38126499,Trimester 1,0,1,1,0,0,0,0,1,0,1,1,0,,,
38126500,Trimester 1,0,1,0,0,1,0,0,0,0,1,1,0,,,
38126514,Trimester 1,1,0,0,1,0,1,0,0,0,1,1,0,0,,
38126522,Trimester 1,0,1,1,0,1,0,0,0,0,1,1,0,,,
38126537,Trimester 1,0,1,0,0,1,0,0,0,0,1,1,0,,,
38126581,Trimester 1,0,1,1,0,0,1,0,0,0,1,1,0,,,
38126584,Trimester 1,0,1,0,1,0,0,0,0,0,1,1,0,,,
38126588,Trimester 1,0,1,1,0,1,0,0,0,0,1,1,0,,,
38126602,Trimester 1,1,0,0,0,1,0,0,0,0,1,1,0,0,,
38126603,Trimester 1,1,0,0,0,1,0,0,0,0,1,1,0,0,,
38126658,Trimester 1,0,1,1,0,0,1,0,0,0,1,1,0,,,
38126662,Trimester 1,1,0,1,0,0,0,0,0,0,0,1,0,0,,
38126693,Trimester 1,1,0,1,0,0,0,0,0,0,1,1,0,0,,
38126723,Trimester 1,0,1,1,0,1,0,0,0,0,1,1,0,,,
38126730,Trimester 1,1,0,0,1,0,1,0,0,0,1,1,0,0,,
38126785,Trimester 1,1,0,1,0,1,0,0,0,0,1,1,0,0,,
38126786,Trimester 1,1,0,1,0,1,0,0,0,0,1,1,0,0,,
38126789,Trimester 1,1,0,1,0,0,0,0,0,0,1,1,0,0,,
38126798,Trimester 1,0,1,0,0,0,0,0,1,0,1,1,0,,,
38126801,Trimester 1,1,0,0,1,1,0,0,0,0,1,1,0,0,,
38126827,Trimester 1,1,0,1,0,0,0,0,0,0,1,1,0,0,,
38126846,Trimester 1,0,1,0,1,0,0,0,1,0,1,1,0,,,
38126848,Trimester 1,1,0,1,0,1,0,0,0,0,1,1,0,0,,
38126849,Trimester 1,0,1,1,0,0,0,0,1,0,1,1,0,,,
38126851,Trimester 1,1,0,1,0,0,0,0,0,0,1,1,0,0,,
38126877,Trimester 1,1,0,0,0,1,0,0,0,0,1,1,0,0,,
